,geno,dcc,passed,age_group,animal
2,wt,0.03920702939499976,False,Young,caf95
3,wt,0.01533576219632371,True,Old,caf88
4,wt,0.14089703546081345,True,Old,caf88
9,wt,0.2519551195603109,True,Mid,caf26
10,wt,0.14334796822118845,False,Mid,caf26
11,wt,0.6557065642949866,False,Mid,caf26
12,wt,0.2139667345432288,False,Mid,caf26
19,wt,0.09958021716669996,True,Old,caf88
54,wt,0.08962477231990262,False,Mid,caf26
55,wt,0.12013691134553028,False,Mid,caf26
56,wt,0.1992770024729622,False,Mid,caf26
57,wt,0.13143993214833694,,Mid,caf26
58,wt,0.6681951708589251,,Mid,caf26
59,wt,0.13160579926335148,False,Mid,caf26
60,wt,0.31799444137235855,,Mid,caf26
64,wt,0.41911816898690635,True,Mid,caf26
65,wt,0.5316654590135188,False,Mid,caf26
66,wt,0.3521808975808578,False,Mid,caf26
67,wt,0.0987862921114051,True,Mid,caf26
68,wt,0.22764951767657804,False,Mid,caf26
69,wt,0.28402696330200716,True,Mid,caf26
70,wt,0.039546630780993075,True,Mid,caf34
71,wt,0.06150489370445156,False,Mid,caf34
72,wt,0.03902313438036775,False,Mid,caf34
73,wt,0.3211222704352278,,Mid,caf34
74,e4,0.4429151817120016,False,Young,caf50
75,e4,0.4021600793880631,False,Young,caf50
76,e4,0.21131780354016727,False,Young,caf50
77,e4,0.21620010205752838,False,Young,caf50
78,e4,0.052174506287367306,False,Mid,caf50
79,e4,0.26736995586951284,False,Mid,caf50
80,e4,0.2768740133744685,True,Young,caf50
81,e4,0.26236958723577475,False,Young,caf50
82,e4,0.42152517834192293,False,Young,caf50
83,e4,0.3451761961368429,False,Young,caf50
84,e4,0.30830478731818367,False,Young,caf50
85,e4,0.3188430626283376,False,Young,caf50
138,wt,0.20975583381961171,False,Mid,caf26
139,wt,0.31175956800251825,,Mid,caf26
140,wt,0.060130027040739886,True,Mid,caf26
141,wt,0.08709942125920556,True,Mid,caf26
142,wt,0.0565885010601479,True,Mid,caf26
143,wt,0.04252357780209248,,Mid,caf26
144,wt,0.0746565262895107,False,Mid,caf26
145,wt,0.19688771539395167,False,Mid,caf26
164,wt,0.02759559624003871,True,Young,caf95
165,wt,0.1811470669425087,False,Young,caf95
166,wt,0.14515620012493646,True,Young,caf95
167,wt,0.001373601160822302,False,Young,caf95
168,wt,0.18601848467044224,False,Old,caf88
169,wt,0.13174627918497883,False,Old,caf88
